Year,Month,Day,Temp,Count,DEWP,Count,SLP,Count,STP,Count,VISIB,Count,WDSP,Count,MXSPD,GUST,Max,MIN,PRCP,SNDP,FRSHTT
1948,12,29,28.5,24,23.9,24,1014.5,24,986.9,24,6.6,24,8.2,24,15,999.9,32,17.1,99.99,999.9,111000
1948,12,30,12.3,24,1.8,24,1030,24,1001.6,24,8.2,24,5.1,24,10.1,999.9,25,1.9,0,999.9,100000
1948,12,31,19.8,24,6.6,24,1022.7,24,994.5,24,11,24,7.6,24,19,999.9,30,12,0,999.9,0
1949,1,1,24.8,24,16,24,1014.8,24,987.2,24,14.9,24,13,24,19,999.9,30.9,19.9,0,999.9,0
1949,1,2,24.5,24,10.5,24,1012.8,24,985.3,24,14.9,24,8.9,24,15.9,999.9,30.9,17.1,0,999.9,0
1949,1,3,17.6,24,9.2,24,1024.7,24,996.6,24,14.9,24,7.1,24,11.1,999.9,26.1,9,0,999.9,0
